,pIC50
492,7.552841968657781
493,4.015472686656207
494,4.661543506395395
495,3.469800301796918
496,4.692503962086787
497,3.7328282715969863
498,4.838631997765025
499,5.3819519032879075
500,4.896196279044043
501,4.114638779968488
502,4.554395796726403
503,6.756961951313706
504,5.0
505,5.059483515067432
506,6.823908740944319
507,6.7447274948966935
508,4.616184634019569
509,6.903089986991944
510,8.0
511,7.0
512,5.1073489661227
513,4.211124884224583
514,5.283162276700476
515,7.619788758288394
516,8.0
517,7.187086643357144
518,4.115771230367396
519,5.082494490447453
520,3.515700160653214
521,4.616184634019569
522,6.886056647693163
523,6.698970004336019
524,6.6777807052660805
525,6.045757490560675
526,6.0915149811213505
527,7.2076083105017466
528,7.698970004336019
529,7.443697499232712
530,6.812479279163537
531,6.295849483160201
532,4.903541888282547
533,6.201349354554731
534,7.113509274827518
535,6.943095148663527
536,5.876148359032914
537,6.5968794788241825
538,6.285670240254767
539,7.161150909262744
540,5.96818772866963
541,6.419075024324381
542,5.0
543,6.7544873321858505
544,7.045757490560675
545,7.031517051446065
546,6.681936665037238
547,7.42021640338319
548,5.659159450187668
549,6.205511953340831
550,5.79317412396815
551,6.283162276700476
552,5.849999245077862
553,3.9800000199290153
554,4.800000052738446
555,5.470000200122707
556,4.480000028175458
557,4.2699999970646445
558,5.210000001311122
559,4.585026652029182
560,5.309803919971486
561,5.272999914895602
562,4.309803919971486
563,5.309803919971486
564,5.309803919971486
565,5.4239997682525205
566,3.461999999164308
567,6.1810025663760735
568,3.8728952016351923
569,4.42021640338319
570,6.42021640338319
571,5.309803919971486
572,2.9470000017962272
573,6.42021640338319
574,3.9000000040686618
575,6.42021640338319
576,4.488116639021126
577,3.703334809738469
578,3.3569999954922864
579,5.309803919971486
580,5.548999996143563
581,3.911999999739359
582,7.469032318428085
583,5.022276394711152
584,4.251811972993799
585,6.42021640338319
586,1.9360000000581392
587,5.107905397309519
588,5.309803919971486
589,2.622000000529848
590,5.309803919971486
591,5.309803919971486
592,3.326999996677582
593,5.22400020846642
594,4.673664139071248
595,6.42021640338319
596,5.309803919971486
597,3.072000002122498
598,6.42021640338319
599,6.42021640338319
600,5.309803919971486
601,2.683999999746373
602,3.0880000007225594
603,3.0
604,4.161000002416256
605,3.469032318428085
606,6.42021640338319
607,6.42021640338319
608,4.173925197299173
609,4.072000007248565
610,3.2719999995100837
611,4.3889999854632515
612,3.1230000021524136
613,4.560667306169737
614,6.42021640338319
615,2.7619999998029403
616,2.9359999985589917
617,3.6399999910458836
618,3.6219999968922534
619,4.376750709602099
620,6.42021640338319
621,5.309803919971486
622,5.309803919971486
623,5.42021640338319
624,6.42021640338319
625,5.309803919971486
626,2.521000000603387
627,2.8210000011975964
628,3.22399999751502
629,3.8500000137195762
630,5.309803919971486
631,2.430999999745263
632,4.939302159646388
633,3.910094888560602
634,2.5350000005956224
635,5.506999488779331
636,4.6020599913279625
637,4.251811972993799
638,6.42021640338319
639,2.753999999115533
640,2.290999999609832
641,3.22399999751502
642,5.075720713938118
643,6.42021640338319
644,2.090000000087678
645,2.4170000003594185
646,5.520999426926838
647,6.01199876052422
648,4.481486060122112
649,5.309803919971486
650,3.1610000024162557
651,6.42021640338319
652,6.42021640338319
653,5.309803919971486
654,4.056000008315555
655,3.2019999991794243
656,3.717000009205801
657,4.619788758288394
658,6.42021640338319
659,6.698970004336019
660,3.0
661,2.0
662,3.3010299956639813
663,3.0
664,4.522878745280337
665,4.301029995663981
666,6.489454989793388
667,7.987162775294828
668,4.096910013008056
669,4.886056647693163
670,3.4436974992327127
671,3.3010299956639813
672,3.0
673,4.301029995663981
674,3.0
675,3.585026652029182
676,6.958607314841775
677,4.045757490560675
678,3.0
679,6.0
680,3.0
681,3.0
682,6.120330794367947
685,3.0
686,5.221848749616356
687,3.0
688,7.3979400086720375
689,5.7544873321858505
690,4.3979400086720375
691,7.769551078621726
692,6.54515513999149
693,4.301029995663981
694,4.522878745280337
695,7.0
696,5.694648630553377
697,6.096910013008056
698,3.408935392973501
699,4.522878745280337
700,6.259637310505756
701,3.0
702,2.3010299956639813
703,3.0
704,6.0
705,5.436518914605589
706,6.301029995663981
707,8.675717544702307
708,9.1249387366083
709,6.360513510731414
710,5.823908740944319
711,8.856985199745905
712,6.688246138944246
713,5.8996294548824375
714,7.287350298372789
715,4.0
716,5.036212172654444
717,9.10790539730952
718,7.530177984021837
719,6.371611069949688
720,8.657577319177793
721,5.769551078621726
722,7.422508200162775
723,5.429457060118103
724,7.450996737974212
725,8.304518323509802
726,8.339134521996131
727,7.114073660198569
728,6.801342913045577
729,4.869344650977969
730,4.0
731,7.931814138253839
732,8.75448733218585
733,5.424812155072339
734,7.522878745280337
735,7.657577319177793
736,6.167491087293763
737,6.619788758288394
738,7.481486060122112
739,5.920818753952375
740,6.356547323513812
741,5.6777807052660805
742,6.187086643357144
743,7.301029995663981
744,6.508638306165727
745,7.769551078621726
746,7.351639989019068
747,6.920818753952375
748,7.080921907623926
749,6.920818753952375
750,7.119186407719209
751,6.585026652029182
752,6.187086643357144
753,6.795880017344075
754,6.301029995663981
755,8.167491087293763
756,6.301029995663981
757,6.200659450546418
758,7.522878745280337
759,8.366531544420413
760,6.2839966563652006
761,6.515700160653214
762,6.431798275933005
763,6.327902142064283
764,6.161150909262744
765,6.568636235841013
766,6.301029995663981
767,7.6020599913279625
768,5.886056647693163
769,7.920818753952375
770,8.096910013008056
771,7.0
772,6.698970004336019
773,6.856985199745905
774,6.1938200260161125
775,4.0
776,7.522878745280337
777,4.327902142064283
778,5.97061622231479
780,4.684029654543083
782,5.667561540084395
783,4.863279432843593
784,4.610833915635467
785,3.279840696594043
786,8.045757490560675
788,4.889410289700751
790,5.698970004336019
791,5.6020599913279625
792,5.749579997691106
793,5.102372908709558
794,5.402304814074488
795,4.413412695328245
796,4.497572880015567
797,4.449771646944906
798,4.480172006224281
799,6.0655015487564325
801,5.8297382846050425
802,3.630784142589857
803,6.275724130399211
804,4.752026733638194
805,5.489454989793388
806,4.099086932262331
807,5.154901959985743
808,6.070581074285707
809,4.4698003017969175
810,4.718966632752273
811,2.9208187539523753
812,5.06198090252379
813,4.978810700930062
814,7.585026652029182
815,4.935542010773082
816,3.6903698325741012
818,5.51427857351842
819,4.280668713016273
821,5.7447274948966935
823,6.657577319177793
824,5.623423042943488
825,4.826813731587726
827,4.721246399047171
828,6.522878745280337
829,5.785156151952302
830,7.275724130399211
831,6.292429823902063
832,7.886056647693163
833,6.119186407719209
834,6.337242168318426
835,3.3575354797578787
836,5.443697499232712
837,5.647817481888637
838,6.552841968657781
839,5.136677139879544
840,5.8297382846050425
841,4.45717457304082
842,4.357535479757878
843,6.795880017344075
844,4.966576244513051
845,4.94692155651658
846,6.638272163982407
847,4.913640169325252
848,3.0
849,5.404503778174426
